slug,brand,displayName,yearRange,status,representativeBattery,fuelMap,customerHeroBattery,customerCardDisplay,source,catalogMatch
carnival-yp,kia,올 뉴 카니발,2014-2020,matched,90L,,90L,90L,operator_slug_primary,true
carnival-yp-fl,kia,더 뉴 카니발,2018-2020,matched,90L,,90L,90L,operator_slug_primary,true
carnival-ka4,kia,카니발 4세대,2020-2023,matched,AGM95L,,AGM95L,AGM95L,operator_slug_primary,true
carnival-ka4-fl,kia,더 뉴 카니발,2023-현재,matched,AGM95L,,AGM95L,AGM95L,operator_slug_primary,true
k3-yd,kia,K3 1세대,2012-2018,matched,DIN62L,"{""가솔린"":""DIN62L"",""디젤"":""DIN62L"",""ISG"":""AGM70L""}",DIN62L,DIN62L,operator_slug_primary,true
k3-bd,kia,올 뉴 K3,2018-2021,matched,DIN62L,,DIN62L,DIN62L,operator_slug_primary,true
k3-bd-fl,kia,더 뉴 K3,2021-2024,matched,DIN62L,,DIN62L,DIN62L,operator_slug_primary,true
morning-sa,kia,뉴 모닝,2011-2015,matched,40AL,,40AL,40AL,operator_slug_primary,true
morning-ta,kia,올 뉴 모닝,2015-2020,matched,40AL,,40AL,40AL,operator_slug_primary,true
morning-ja,kia,모닝 3세대,2020-2023,matched,40AL,"{""일반"":""40AL"",""모닝 어반/터보"":""DIN50L""}",40AL,40AL,operator_slug_primary,true
morning-ja-fl,kia,더 뉴 모닝,2023-현재,matched,40AL,"{""일반"":""40AL"",""터보/상위"":""DIN50L""}",40AL,40AL,operator_slug_primary,true
ray-tam,kia,레이,2011-2022,matched,60AL,,60AL,60AL,operator_slug_primary,true
ray-tam-2fl,kia,더 뉴 기아 레이,2022-현재,matched,60AL,,60AL,60AL,operator_slug_primary,true
niro-de,kia,니로,2016-2022,matched,DIN50L,,DIN50L,DIN50L,operator_slug_primary,true
niro-de-fl,kia,더 뉴 니로,2019-2022,matched,DIN50L,,DIN50L,DIN50L,operator_slug_primary,true
niro-sg2,kia,디 올 뉴 니로,2022-현재,sales_excluded,—,,,리튬 배터리 장착 · 판매 제외,none,false
bongo3-truck,kia,봉고3,2004-현재,matched,100L,,100L,100L,operator_slug_primary,true
bongo3-ev,kia,봉고3 EV,2020-현재,matched,80L,,80L,80L,operator_slug_primary,true
genesis-gv60,genesis,GV60,2021-현재,matched,AGM60L,,AGM60L,AGM60L,operator_slug_primary,true
genesis-gv70,genesis,GV70,2020-현재,matched,AGM80R,,AGM80R,AGM80R,operator_slug_primary,true
genesis-gv80,genesis,GV80,2020-현재,matched,AGM95R,,AGM95R,AGM95R,operator_slug_primary,true
genesis-g70,genesis,G70,2017-현재,matched,AGM80L,,AGM80L,AGM80L,operator_slug_primary,true
genesis-g80-rg3,genesis,G80,2020-현재,matched,AGM95R,,AGM95R,AGM95R,operator_slug_primary,true
genesis-g80-dh,genesis,G80,2016-2020,matched,AGM105L,,AGM105L,AGM105L,operator_slug_primary,true
genesis-eq900,genesis,EQ900,2015-2018,matched,AGM105L,,AGM105L,AGM105L,operator_slug_primary,true
genesis-g90,genesis,G90,2018-현재,matched,AGM105L,"{""2018-2021"":""AGM105L"",""2022+"":""AGM105R""}",AGM105L,AGM105L,operator_slug_primary,true
genesis-dh,genesis,제네시스 DH,2013-2016,matched,AGM105L,,AGM105L,AGM105L,operator_slug_primary,true
renault-samsung-sm3-2005,renault,SM3,2005-2008,matched,80L,,80L,80L,operator_slug_primary,true
renault-samsung-new-sm3-2009,renault,뉴 SM3,2009-2013,matched,DIN74L,,DIN74L,DIN74L,operator_slug_primary,true
renault-samsung-sm3-neo-2014,renault,SM3 네오,2014-2019,matched,DIN74L,"{""가솔린"":""DIN74L"",""디젤"":""AGM70L""}",DIN74L,DIN74L,operator_slug_primary,true
renault-samsung-sm3-ze-2013,renault,SM3 Z.E.,2013-2019,ev_low_voltage,ev_low_voltage_battery,,EV 저전압 배터리,EV 저전압 배터리,operator_slug_primary,true
renault-samsung-sm5-new-impression-2007,renault,SM5 뉴 임프레션,2007-2009,matched,80L,,80L,80L,operator_slug_primary,true
renault-samsung-new-sm5-2010,renault,뉴 SM5,2010-2012,matched,DIN90L,,DIN90L,DIN90L,operator_slug_primary,true
renault-samsung-sm5-nova-2015,renault,SM5 노바,2015-2019,matched,DIN90L,,DIN90L,DIN90L,operator_slug_primary,true
renault-samsung-sm6-2016,renault,SM6,2016-2019,matched,DIN74L,,DIN74L,DIN74L,operator_slug_primary,true
